Campaign,Campaign type,Campaign start date,Campaign end date,Audience segment,Audience segment type,Clicks,Impr.,CTR,TrueView view rate
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,College Graduation › Graduating Soon,Life event,15,733,2.05%,3.82%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,College Graduation › Recently Graduated,Life event,15,675,2.22%,8.89%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,2-Aug-24,2-Sep-24,University,Custom intent segment: auto-created,15,"1,335",1.12%,3.45%
UCM - DOT Conference (Display) - 8.15-8.30,Display,15-Aug-24,31-Aug-24,Employment › Government & Public Sector Jobs,In-market segment,15,"14,387",0.10%,0
UCM - DOT Conference (Display) - 8.15-8.30,Display,15-Aug-24,31-Aug-24,Intelligent Robots,Custom intent segment: auto-created,15,"27,819",0.05%,0
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,11-Jun-24,7-Jul-24,University,Custom intent segment: auto-created,14,769,1.82%,1.30%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,19-Jul-24,19-Aug-24,AI Chatbot,Custom intent segment: auto-created,13,815,1.60%,1.23%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,26-Aug-24,26-Sep-24,AI Chatbot,Custom intent segment: auto-created,13,877,1.48%,0.80%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,Carnegie Mellon University Information,Custom intent segment: auto-created,13,"1,546",0.84%,13.26%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,17-Sep-24,17-Oct-24,T-Rex,Custom intent segment: auto-created,13,"1,603",0.81%,0.06%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,4-Oct-24,4-Nov-24,AI Chatbot,Custom intent segment: auto-created,13,922,1.41%,7.59%
